SeqId,BubbleSortNComp,BubbleSortTns,InsertionSortNComp,InsertionSortTns,MergeSortNComp,MergeSortTns,QuickSortNComp,QuickSortTns,QuickSortRandomNComp,QuickSortRandomTns,
seq_50_0,1225,776500,555,95900,214,147700,244,41900,256,47000,
seq_50_1,1225,103000,658,44900,219,136900,267,26700,236,33000,
seq_50_2,1225,103900,561,42800,221,124600,250,23800,372,41100,
seq_50_3,1225,52500,552,40600,225,106800,287,24500,223,31200,
seq_50_4,1225,19100,584,44000,220,85800,251,22400,276,40200,
seq_50_5,1225,21000,557,34800,222,50100,230,24200,268,36000,
seq_50_6,1225,21100,517,6800,222,52100,251,41400,245,47500,
seq_50_7,1225,17900,472,6400,225,51900,282,7800,236,18200,
seq_50_8,1225,19000,579,7700,218,49200,218,6600,276,16900,
seq_50_9,1225,19500,620,7900,220,51900,264,7300,277,17400,
seq_50_10,1225,17700,470,6400,225,51900,280,7500,288,16900,
seq_50_11,1225,19100,598,7600,214,49100,261,7200,237,17300,
seq_50_12,1225,18800,583,7600,224,71000,255,7000,349,19800,
seq_50_13,1225,19500,616,7900,224,24300,247,6800,258,18900,
seq_50_14,1225,19800,642,8100,221,22200,273,7300,269,17600,
seq_50_15,1225,19700,648,8300,217,18200,241,6900,226,15700,
seq_50_16,1225,19000,588,7500,220,21200,318,8400,263,32900,
seq_50_17,1225,17800,498,6700,209,13400,266,6900,220,22200,
seq_50_18,1225,22200,538,7000,224,14300,259,7500,249,10700,
seq_50_19,1225,20000,685,8500,218,12200,232,7400,254,15200,
seq_50_20,1225,20000,670,8500,216,14200,262,7100,221,12000,
seq_50_21,1225,19000,571,7500,218,15000,249,6400,238,10800,
seq_50_22,1225,18900,538,7100,227,12500,271,23000,233,12000,
seq_50_23,1225,19400,610,7700,218,12400,268,7100,307,11400,
seq_50_24,1225,20300,718,9000,226,12000,230,6900,238,10200,
seq_50_25,1225,18800,538,7100,221,14400,233,6600,239,10100,
seq_50_26,1225,19100,549,7100,222,12300,219,6500,228,10000,
seq_50_27,1225,19500,606,7700,226,11200,247,24400,258,29000,
seq_50_28,1225,19100,623,7700,219,11800,237,5000,270,9800,
seq_50_29,1225,22300,566,7200,222,11700,251,4800,297,9200,
seq_50_30,1225,18900,534,6900,230,11200,241,4800,286,9700,
seq_50_31,1225,18900,556,7200,224,37800,253,5800,236,9800,
seq_50_32,1225,20300,675,8400,214,14700,294,5500,231,9200,
seq_50_33,1225,18600,550,7200,224,12200,250,4800,283,9800,
seq_50_34,1225,19400,609,7700,229,11700,227,5200,266,9900,
seq_50_35,1225,20000,708,8600,218,10800,243,5000,268,8500,
seq_50_36,1225,18400,539,6900,217,11700,309,6000,232,9400,
seq_50_37,1225,18600,508,6600,224,11800,288,5700,235,9100,
seq_50_38,1225,19200,612,7700,221,10800,259,5600,243,9300,
seq_50_39,1225,19800,666,8300,222,11600,241,4700,295,9900,
seq_50_40,1225,18400,578,7300,224,11500,277,5600,245,9300,
seq_50_41,1225,20200,707,8700,220,10700,236,4900,305,15100,
seq_50_42,1225,20100,668,8300,220,12000,251,5200,286,9600,
seq_50_43,1225,20100,676,8300,216,13000,328,6200,239,9500,
seq_50_44,1225,19000,584,7500,218,12300,344,5400,274,14100,
seq_50_45,1225,19600,665,8300,217,13700,246,5300,289,13000,
seq_50_46,1225,19900,658,8300,225,12100,278,5200,270,10300,
seq_50_47,1225,18700,574,7500,218,13400,244,5100,274,9600,
seq_50_48,1225,20000,666,8400,226,13800,231,5300,267,10400,
seq_50_49,1225,19300,617,7800,223,12300,255,5400,247,9700,
seq_50_50,1225,19900,628,8000,216,14200,273,5600,255,10000,
seq_50_51,1225,19300,610,7700,218,12200,230,4900,257,9200,
seq_50_52,1225,18700,537,7100,224,12700,297,5600,248,35400,
seq_50_53,1225,19800,646,8200,224,13600,252,5500,264,6400,
seq_50_54,1225,19600,649,8100,226,13300,234,4800,222,5900,
seq_50_55,1225,20200,666,8300,220,11200,265,5000,295,6700,
seq_50_56,1225,18700,556,7100,223,12000,268,4900,253,6400,
seq_50_57,1225,19200,629,11400,223,13000,247,5200,313,6400,
seq_50_58,1225,20500,730,8900,218,11500,261,5000,246,6000,
seq_50_59,1225,20300,704,8800,223,13500,295,5300,283,6500,
seq_50_60,1225,18300,564,7300,213,12100,250,5500,270,6200,
seq_50_61,1225,19400,600,7800,226,13600,263,5400,228,6200,
seq_50_62,1225,18600,570,7300,224,13400,266,5300,232,5900,
seq_50_63,1225,19900,688,8700,231,12200,295,5100,258,6600,
